"country","date","dny","jaro_leto_podzim_zima","population_density","population","tests_performed","confirmed_per_day","gdp_per_person","gini","mortaliy_under5","median_age_2018","Christianity","Islam","Hinduism","Judaism","rozdil_doziti","prumer_temp","pocet_hodin","max_vitr"
Austria,"2020-10-30",pracovni_den,"3",107.2069267,8840521,26421.0,5349,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,11.7500,24,"29 km/h"
Austria,"2020-11-01",vikend,"3",107.2069267,8840521,23316.0,4135,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,13.0000,12,"12 km/h"
Austria,"2020-11-02",pracovni_den,"3",107.2069267,8840521,23450.0,4182,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,14.5000,24,"13 km/h"
Austria,"2020-11-04",pracovni_den,"3",107.2069267,8840521,29433.0,7416,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,10.6000,60,"31 km/h"
Austria,"2020-11-16",pracovni_den,"3",107.2069267,8840521,26232.0,5984,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,8.0000,12,"10 km/h"
Austria,"2020-11-19",pracovni_den,"3",107.2069267,8840521,31316.0,6668,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,12.0000,12,"23 km/h"
Austria,"2020-11-20",pracovni_den,"3",107.2069267,8840521,33190.0,6611,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,5.0000,12,"37 km/h"
Austria,"2020-02-27",pracovni_den,"0",107.2069267,8840521,126.0,0,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-05",pracovni_den,"0",107.2069267,8840521,573.0,14,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-08",vikend,"0",107.2069267,8840521,201.0,27,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
Austria,"2020-03-09",pracovni_den,"0",107.2069267,8840521,225.0,51,50100.62,30.8,3.5,44.5,78.6,6.2,,0.23,15.149000000000001,,,
